File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J150_T10_R60_B10_W4_S65_N5.txt,10,150,12,4,546,489,10.44,600.23
Ins_V2_J50_T30_R60_B10_W1_S116_N6.txt,2,50,35,1,1045,1045,0.00,9.09
Ins_V5_J150_T10_R60_B10_W1_S37_N7.txt,5,150,12,1,537,537,0.00,193.37
Ins_V10_J150_T10_R60_B10_W1_S60_N0.txt,10,150,12,1,248,248,0.00,304.41
Ins_V10_J50_T10_R60_B10_W2_S157_N7.txt,10,50,12,2,94,94,0.00,7.27
Ins_V2_J150_T20_R60_B10_W2_S11_N1.txt,2,150,26,2,2958,2958,0.00,423.62
Ins_V10_J100_T30_R60_B10_W4_S262_N2.txt,10,100,34,4,591,590,0.17,600.33
Ins_V10_J100_T10_R60_B10_W2_S245_N5.txt,10,100,11,2,210,210,0.00,262.51
Ins_V10_J100_T20_R60_B10_W2_S257_N7.txt,10,100,27,2,383,376,1.83,600.19
Ins_V2_J50_T30_R60_B10_W2_S110_N0.txt,2,50,35,2,1227,1227,0.00,17.83
Ins_V5_J100_T10_R60_B10_W1_S216_N6.txt,5,100,11,1,319,319,0.00,26.88
Ins_V2_J50_T20_R60_B10_W4_S103_N3.txt,2,50,27,5,1456,1456,0.00,0.38
Ins_V5_J100_T20_R60_B10_W4_S221_N1.txt,5,100,26,5,1078,1066,1.11,600.07
Ins_V5_J100_T10_R60_B10_W2_S211_N1.txt,5,100,12,2,494,494,0.00,105.60
Ins_V10_J150_T30_R60_B10_W1_S82_N2.txt,10,150,37,1,618,608,1.62,600.11
Ins_V5_J150_T10_R60_B10_W4_S31_N1.txt,5,150,12,4,1144,1090,4.72,600.09
Ins_V10_J50_T20_R60_B10_W2_S167_N7.txt,10,50,25,2,148,145,2.03,601.04
Ins_V2_J150_T10_R60_B10_W2_S3_N3.txt,2,150,12,2,1947,1947,0.00,216.46
Ins_V5_J50_T20_R60_B10_W1_S139_N9.txt,5,50,23,1,258,258,0.00,4.50
Ins_V2_J150_T20_R60_B10_W4_S10_N0.txt,2,150,24,4,3681,3681,0.00,433.93
Ins_V10_J150_T30_R60_B10_W2_S80_N0.txt,10,150,34,2,702,534,23.93,600.10
Ins_V5_J150_T10_R60_B10_W2_S34_N4.txt,5,150,12,2,839,708,15.61,600.17
Ins_V2_J50_T10_R60_B10_W2_S99_N9.txt,2,50,11,2,583,583,0.00,2.03
Ins_V10_J150_T20_R60_B10_W1_S73_N3.txt,10,150,25,1,439,418,4.78,600.13
Ins_V10_J100_T30_R60_B10_W2_S265_N5.txt,10,100,38,2,489,479,2.04,600.17
Ins_V2_J100_T20_R60_B10_W2_S191_N1.txt,2,100,26,2,2080,2080,0.00,104.85
Ins_V5_J100_T30_R60_B10_W2_S234_N4.txt,5,100,39,2,1045,1033,1.15,600.12
Ins_V5_J100_T20_R60_B10_W4_S227_N7.txt,5,100,22,4,962,933,3.01,600.19
Ins_V2_J50_T10_R60_B10_W2_S90_N0.txt,2,50,11,2,627,627,0.00,4.22
Ins_V2_J100_T20_R60_B10_W1_S190_N0.txt,2,100,27,1,1724,1724,0.00,77.90
Ins_V2_J100_T20_R60_B10_W4_S193_N3.txt,2,100,26,4,2573,2573,0.00,116.98
Ins_V5_J150_T20_R60_B10_W2_S47_N7.txt,5,150,25,2,1186,837,29.43,600.11
Ins_V10_J150_T10_R60_B10_W1_S62_N2.txt,10,150,12,1,252,252,0.00,206.12
Ins_V5_J100_T30_R60_B10_W1_S234_N4.txt,5,100,39,1,889,889,0.00,86.63
Ins_V2_J100_T20_R60_B10_W4_S198_N8.txt,2,100,24,4,2676,2676,0.00,47.23
Ins_V2_J150_T20_R60_B10_W1_S17_N7.txt,2,150,23,1,2314,2314,0.00,182.18
Ins_V2_J100_T10_R60_B10_W2_S185_N5.txt,2,100,12,2,1310,1310,0.00,57.46
Ins_V10_J150_T20_R60_B10_W2_S71_N1.txt,10,150,23,2,577,379,34.32,600.11
Ins_V2_J150_T20_R60_B10_W2_S16_N6.txt,2,150,23,2,3050,3020,0.98,600.10
Ins_V10_J150_T10_R60_B10_W4_S60_N0.txt,10,150,12,4,535,458,14.39,600.21
Ins_V5_J150_T30_R60_B10_W2_S58_N8.txt,5,150,36,2,1775,1168,34.20,600.11
Ins_V10_J50_T20_R60_B10_W2_S160_N0.txt,10,50,25,2,151,151,0.00,22.18
Ins_V2_J50_T20_R60_B10_W1_S101_N1.txt,2,50,23,1,747,747,0.00,2.78
Ins_V5_J150_T20_R60_B10_W2_S49_N9.txt,5,150,23,2,1131,831,26.53,600.09
Ins_V2_J150_T20_R60_B10_W4_S15_N5.txt,2,150,25,4,3800,3770,0.79,600.26
Ins_V2_J100_T10_R60_B10_W1_S183_N3.txt,2,100,12,1,1026,1026,0.00,34.90
Ins_V2_J50_T10_R60_B10_W4_S98_N8.txt,2,50,12,3,855,855,0.00,4.93
Ins_V2_J150_T10_R60_B10_W2_S8_N8.txt,2,150,12,2,2035,2035,0.00,183.79
Ins_V5_J150_T10_R60_B10_W2_S37_N7.txt,5,150,12,2,777,671,13.64,600.14
Ins_V10_J150_T10_R60_B10_W4_S67_N7.txt,10,150,13,4,552,485,12.14,600.26
Ins_V5_J150_T30_R60_B10_W1_S55_N5.txt,5,150,39,1,1341,1341,0.00,424.23
Ins_V2_J50_T30_R60_B10_W2_S113_N3.txt,2,50,40,2,1319,1319,0.00,12.31
Ins_V2_J150_T30_R60_B10_W1_S26_N6.txt,2,150,39,1,3562,3562,0.00,170.62
Ins_V2_J100_T10_R60_B10_W2_S180_N0.txt,2,100,11,2,1318,1318,0.00,50.74
Ins_V5_J100_T30_R60_B10_W4_S234_N4.txt,5,100,39,4,1345,1333,0.89,600.16
Ins_V10_J100_T20_R60_B10_W1_S254_N4.txt,10,100,22,1,251,251,0.00,188.64
Ins_V10_J150_T10_R60_B10_W1_S65_N5.txt,10,150,12,1,261,261,0.00,511.87
Ins_V10_J150_T10_R60_B10_W2_S63_N3.txt,10,150,11,2,344,175,49.13,600.08
Ins_V10_J150_T10_R60_B10_W2_S60_N0.txt,10,150,12,2,405,199,50.86,600.12
Ins_V5_J100_T10_R60_B10_W4_S218_N8.txt,5,100,11,4,803,791,1.49,600.16
Ins_V2_J150_T30_R60_B10_W2_S25_N5.txt,2,150,38,2,4025,3995,0.75,600.08
Ins_V10_J50_T10_R60_B10_W2_S158_N8.txt,10,50,12,2,85,85,0.00,8.30
Ins_V2_J50_T20_R60_B10_W4_S106_N6.txt,2,50,27,4,1276,1276,0.00,13.84
Ins_V5_J150_T10_R60_B10_W2_S31_N1.txt,5,150,12,2,808,439,45.67,600.09
Ins_V10_J150_T30_R60_B10_W4_S86_N6.txt,10,150,34,4,905,831,8.18,600.24
Ins_V2_J150_T30_R60_B10_W4_S28_N8.txt,2,150,36,4,4731,4701,0.63,600.10
Ins_V5_J50_T10_R60_B10_W4_S126_N6.txt,5,50,13,4,384,384,0.00,120.36
Ins_V2_J100_T20_R60_B10_W4_S196_N6.txt,2,100,27,4,2773,2743,1.08,600.17
