File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J150_T30_R60_B10_W2_S83_N3.txt,10,150,38,2,760,760,0.00,8.12
Ins_V10_J200_T20_R60_B10_W4_S344_N4.txt,10,200,24,4,961,961,0.00,241.22
Ins_V10_J150_T30_R60_B10_W2_S81_N1.txt,10,150,38,2,783,783,0.00,8.39
Ins_V2_J200_T30_R60_B10_W4_S299_N9.txt,2,200,38,4,6675,6675,0.00,240.27
Ins_V2_J200_T30_R60_B10_W4_S293_N3.txt,2,200,39,4,6655,6655,0.00,240.23
Ins_V5_J150_T20_R60_B10_W2_S48_N8.txt,5,150,26,2,1212,1212,0.00,0.80
Ins_V10_J100_T30_R60_B10_W1_S269_N9.txt,10,100,40,1,423,435,2.84,0.22
Ins_V5_J100_T10_R60_B10_W1_S215_N5.txt,5,100,13,1,361,361,0.00,0.18
Ins_V10_J150_T20_R60_B10_W1_S74_N4.txt,10,150,29,1,503,503,0.00,0.50
Ins_V2_J100_T20_R60_B10_W1_S193_N3.txt,2,100,26,1,1673,1673,0.00,0.12
Ins_V5_J100_T10_R60_B10_W2_S214_N4.txt,5,100,13,2,473,473,0.00,0.13
Ins_V5_J150_T20_R60_B10_W1_S43_N3.txt,5,150,23,1,900,900,0.00,0.49
Ins_V5_J50_T10_R60_B10_W2_S123_N3.txt,5,50,10,2,191,191,0.00,0.06
Ins_V5_J100_T30_R60_B10_W1_S235_N5.txt,5,100,34,1,808,808,0.00,0.15
Ins_V10_J100_T20_R60_B10_W2_S256_N6.txt,10,100,24,2,322,322,0.00,0.25
Ins_V10_J50_T20_R60_B10_W1_S162_N2.txt,10,50,24,1,125,125,0.00,0.15
Ins_V2_J200_T20_R60_B10_W4_S289_N9.txt,2,200,25,4,5109,5109,0.00,240.21
Ins_V5_J50_T20_R60_B10_W4_S136_N6.txt,5,50,27,4,515,515,0.00,0.24
Ins_V5_J150_T30_R60_B10_W1_S58_N8.txt,5,150,36,1,1312,1312,0.00,0.48
Ins_V10_J100_T20_R60_B10_W4_S252_N2.txt,10,100,28,4,467,467,0.00,3.79
Ins_V2_J100_T20_R60_B10_W2_S197_N7.txt,2,100,25,2,1977,1977,0.00,17.09
Ins_V2_J150_T20_R60_B10_W4_S18_N8.txt,2,150,26,4,3960,3960,0.00,1.46
Ins_V2_J50_T30_R60_B10_W1_S115_N5.txt,2,50,44,1,1295,1295,0.00,0.03
Ins_V2_J100_T10_R60_B10_W1_S184_N4.txt,2,100,12,1,986,986,0.00,0.13
Ins_V10_J200_T20_R60_B10_W1_S343_N3.txt,10,200,28,1,672,672,0.00,1.39
Ins_V5_J100_T30_R60_B10_W2_S238_N8.txt,5,100,38,2,1068,1068,0.00,0.23
Ins_V5_J100_T30_R60_B10_W1_S238_N8.txt,5,100,38,1,852,856,0.47,0.16
